EA_TUNNUS	LAHIN_TSA	NIMI_FI	EANIMI_FI	TIE	TIEOSA	ETAISYYS	X	Y	KUNNAN_NIMI
C0950901	9013	Tie 4 Joutsa	Jyväskylään	4	222	0	6850899	452290	Joutsa
C0950902	9013	Tie 4 Joutsa	Lahteen	4	222	0	6850899	452290	Joutsa
C0950701	9001	Tie 4 Vestonmaki	Jyväskylään	4	227	2100	6880277	450432	Toivakka
C0950702	9001	Tie 4 Vestonmaki	Lahteen	4	227	2100	6880277	450432	Toivakka
C0950709	9001	Tie 4 Vestonmaki	Tienpinta	4	227	2100	6880277	450432	Toivakka
C0951002	9014	Tie 4 Vaajakoski	Lahteen	4	233	79	6902062	441387	Jyväskylä
C0952001	9019	Tie 4 Palokka	Ouluun	4	301	5992	6907166	433626	Jyväskylä
C0952002	9019	Tie 4 Palokka	Jyväskylään	4	301	5992	6907166	433626	Jyväskylä
C0952009	9019	Tie 4 Palokka	Tienpinta	4	301	5992	6907166	433626	Jyväskylä
C0951501	9019	Tie 4 Puuppola	Ouluun	4	302	4360	6912647	432923	Jyväskylä
C0951502	9019	Tie 4 Puuppola	Jyväskylään	4	302	4360	6912647	432923	Jyväskylä
C0950601	9006	Tie 4 Äänekoski, Hirvaskan	Ouluun	4	306	3100	6932254	432437	Äänekoski
C0950602	9006	Tie 4 Äänekoski, Hirvaskan	Jyväskylään	4	306	3100	6932254	432437	Äänekoski
C0950609	9006	Tie 4 Äänekoski, Hirvaskan	Tienpinta	4	306	3100	6932254	432437	Äänekoski
C0950101	9018	Tie 4 Petomäki	Ouluun	4	310	4400	6950337	436335	Äänekoski
C0950102	9018	Tie 4 Petomäki	Jyväskylään	4	310	4400	6950337	436335	Äänekoski
C0951301	9008	Tie 4 Taimoniemi	Ouluun	4	319	9200	7001478	437906	Viitasaari
C0951302	9008	Tie 4 Taimoniemi	Jyväskylään	4	319	9200	7001478	437906	Viitasaari
C0951309	9008	Tie 4 Taimoniemi	Tienpinta	4	319	9200	7001478	437906	Viitasaari
C1250501	11005	Tie 4 Elämäjärvi	Ouluun	4	330	72	7043739	436934	Pyhäjärvi
C1250502	11005	Tie 4 Elämäjärvi	Jyväskylään	4	330	72	7043739	436934	Pyhäjärvi
C1250509	11005	Tie 4 Elämäjärvi	Tienpinta	4	330	72	7043739	436934	Pyhäjärvi
C1255501	12016	Tie 4 Kärsämäki	Ouluun	4	343	25	7095711	439222	Kärsämäki
C1255502	12016	Tie 4 Kärsämäki	Jyväskylään	4	343	25	7095711	439222	Kärsämäki
C1255503	12016	Tie 4 Kärsämäki	Tie 28 Iisalmeen	4	343	25	7095711	439222	Kärsämäki
C1255504	12016	Tie 4 Kärsämäki	Tie 28 Kokkolaan	4	343	25	7095711	439222	Kärsämäki
C1255509	12016	Tie 4 Kärsämäki	Tienpinta	4	343	25	7095711	439222	Kärsämäki
C1250701	12003	Tie 4 Pulkkila	Ouluun	4	348	6792	7123902	443967	Siikalatva
C1250702	12003	Tie 4 Pulkkila	Jyväskylään	4	348	6792	7123902	443967	Siikalatva
C1250709	12003	Tie 4 Pulkkila	Tienpinta	4	348	6792	7123902	443967	Siikalatva
C1257700	12041	Tie 4 Pulkkila, Hyttikoski	Ouluun	4	353	4041	7141607	442024	Pulkkila
C1255401	12003	Tie 4 Rantsila	Ouluun	4	355	2080	7152945	436289	Siikalatva
C1255402	12003	Tie 4 Rantsila	Jyväskylään	4	355	2080	7152945	436289	Siikalatva
C1255409	12003	Tie 4 Rantsila	Tienpinta	4	355	2080	7152945	436289	Siikalatva
C1251501	12014	Tie 4 Alatemmes	Ouluun	4	361	125	7180019	431844	Liminka
C1251502	12014	Tie 4 Alatemmes	Jyväskylään	4	361	125	7180019	431844	Liminka
C1251509	12014	Tie 4 Alatemmes	Tienpinta	4	361	125	7180019	431844	Liminka
C1253701	12022	Tie 4 Liminka, Haaransilta	Ouluun	4	363	157	7188833	428176	Liminka
C1253702	12022	Tie 4 Liminka, Haaransilta	Jyväskylään / Kokkolaan	4	363	157	7188833	428176	Liminka
C1253709	12022	Tie 4 Liminka, Haaransilta	Tienpinta	4	363	157	7188833	428176	Liminka
C1254400	12022	Tie 4 Liminka, Tupos		4	363	5810	7194175	429788	Kempele
C1252500	12001	Tie 4 Kempele, Zeppelin		4	364	3277	7198754	430759	Kempele
C1251200	12001	Tie 4 Oulu, Kiviniemi		4	367	1	7204726	429960	Oulu
C1255201	12001	Tie 4 Oulu, Lintula	Ouluun	4	367	3027	7207733	429490	Oulu
C1255202	12001	Tie 4 Oulu, Lintula	Jyväskylään	4	367	3027	7207733	429490	Oulu
C1255203	12001	Tie 4 Oulu, Lintula	Tie 8155 Äimärautioon	4	367	3027	7207733	429490	Oulu
C1255204	12001	Tie 4 Oulu, Lintula	Tue 8155 Knuutilanrantaan	4	367	3027	7207733	429490	Oulu
C1255209	12001	Tie 4 Oulu, Lintula	Tienpinta	4	367	3027	7207733	429490	Oulu
C1250301	12019	Tie 4 Oulu, Kontinkangas	Kemiin	4	367	5080	7209783	429633	Oulu
C1250302	12019	Tie 4 Oulu, Kontinkangas	Jyväskylään	4	367	5080	7209783	429633	Oulu
C1250303	12019	Tie 4 Oulu, Kontinkangas	Tie 22 Kajaaniin	4	367	5080	7209783	429633	Oulu
C1250304	12019	Tie 4 Oulu, Kontinkangas	Tie 22 Ouluun	4	367	5080	7209783	429633	Oulu
C1250309	12019	Tie 4 Oulu, Kontinkangas	Tienpinta	4	367	5080	7209783	429633	Oulu
C1251300	12019	Tie 4 Oulu, Intiö		4	401	839	7210632	429610	Oulu
C1250401	12019	Tie 4 Oulu, Laanila	Kemiin	4	402	0	7212283	429676	Oulu
C1250402	12019	Tie 4 Oulu, Laanila	Jyväskylään	4	402	0	7212283	429676	Oulu
C1250403	12019	Tie 4 Oulu, Laanila	Tie 20 Kuusamoon	4	402	0	7212283	429676	Oulu
C1250404	12019	Tie 4 Oulu, Laanila	Tie 20 Ouluun	4	402	0	7212283	429676	Oulu
C1250409	12019	Tie 4 Oulu, Laanila	Tienpinta	4	402	0	7212283	429676	Oulu
C1252300	13008	Tie 4 Oulu, Linnanmaa		4	403	1954	7215512	427029	Oulu
C1257207	12012	Tie 4 Haukipudas		4	406	1470	7228827	426223	Oulu
C1253201	12015	Tie 4 Ii	Kemiin	4	410	1963	7247190	424007	Ii
C1253202	12015	Tie 4 Ii	Ouluun	4	410	1963	7247190	424007	Ii
C1253209	12015	Tie 4 Ii	Tienpinta	4	410	1963	7247190	424007	Ii
C1257101	12012	Tie 4 Taipale	Kemiin	4	415	1483	7268450	419514	Kuivaniemi
C1257102	12012	Tie 4 Taipale	Ouluun	4	415	1483	7268450	419514	Kuivaniemi
C1257109	12012	Tie 4 Taipale	Tienpinta	4	415	1483	7268450	419514	Kuivaniemi
C1251401	12004	Tie 4 Kuivaniemi	Kemiin	4	417	1261	7277433	416128	Ii
C1251402	12004	Tie 4 Kuivaniemi	Ouluun	4	417	1261	7277433	416128	Ii
C1251409	12004	Tie 4 Kuivaniemi	Tienpinta	4	417	1261	7277433	416128	Ii
C1457001	14044	Tie 4, Simo	Kemiin	4	420	5990	7284599	404883	Simo
C1455601	14039	Tie 4 Kemi, Hepola	Kemiin	4	423	3817	7288022	393225	Kemi
C1455602	14039	Tie 4 Kemi, Hepola	Ouluun	4	423	3817	7288022	393225	Kemi
C1455609	14039	Tie 4 Kemi, Hepola	Tienpinta	4	423	3817	7288022	393225	Kemi
C1455701	14039	Tie 4 Kemi, Ajos	Kemiin	4	424	3531	7290298	390511	Kemi
